epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8949404954910278,0.9604331851005554,0.0010000000474974513,0.25291579961776733,0.4103338122367859,0.8793759346008301,0.6713064312934875,0.8635339736938477,0.537890613079071,0.16480319201946259,0.8188736438751221
1,0.9416801333427429,0.9875229597091675,0.0010000000474974513,0.1417016088962555,0.5697261095046997,0.9459665417671204,0.9085133671760559,0.9889401793479919,0.17754654586315155,0.4518887996673584,0.9649924039840698
2,0.9442791938781738,0.9904948472976685,0.0010000000474974513,0.1220308467745781,0.5802781581878662,0.960616409778595,0.9710638523101807,0.9955635666847229,0.0685429647564888,0.7353792786598206,0.9665144681930542
3,0.9484665393829346,0.9916616678237915,0.0010000000474974513,0.11358145624399185,0.6001900434494019,0.9613775014877319,0.9275730848312378,0.995958685874939,0.1379532665014267,0.5117831826210022,0.9916285872459412
4,0.9513543844223022,0.9934434294700623,0.0010000000474974513,0.10038646310567856,0.6139355301856995,0.9672755002975464,0.9669631719589233,0.9955052733421326,0.07910626381635666,0.7056540846824646,0.9687975645065308
5,0.9558016657829285,0.9939157366752625,0.0010000000474974513,0.0952216237783432,0.6371703743934631,0.969939112663269,0.9503869414329529,0.996880829334259,0.09733981639146805,0.6057647466659546,0.9916285872459412
6,0.9598157405853271,0.9955261945724487,0.0005000000237487257,0.08245120942592621,0.6587902903556824,0.9760273694992065,0.9567979574203491,0.997419536113739,0.0829562395811081,0.6389980316162109,0.9901065230369568
7,0.9600179195404053,0.9956353306770325,0.0005000000237487257,0.0793614462018013,0.6594026684761047,0.978691041469574,0.964133083820343,0.9975013136863708,0.06370509415864944,0.6815086603164673,0.9901065230369568
8,0.963887631893158,0.9958069920539856,0.0005000000237487257,0.07757018506526947,0.6828621029853821,0.978691041469574,0.9552385210990906,0.9973872900009155,0.09450529515743256,0.6306350231170654,0.9901065230369568
9,0.9620826840400696,0.9957916140556335,0.0005000000237487257,0.07890943437814713,0.6720753908157349,0.9771689772605896,0.9521196484565735,0.9973052740097046,0.09890266507863998,0.6145488619804382,0.9901065230369568
10,0.961187481880188,0.9961638450622559,0.0005000000237487257,0.07499101758003235,0.6665369868278503,0.9777397513389587,0.9609564542770386,0.9974187016487122,0.07293418049812317,0.6624236106872559,0.9901065230369568
11,0.9650427103042603,0.9963634014129639,0.0002500000118743628,0.07067982852458954,0.6895306706428528,0.9811643958091736,0.9632089734077454,0.9978548288345337,0.07192839682102203,0.675844132900238,0.9901065230369568
12,0.966313362121582,0.9968226552009583,0.0002500000118743628,0.06671583652496338,0.6977404952049255,0.9811643958091736,0.9736629128456116,0.9980584383010864,0.058605920523405075,0.7465517520904541,0.9885844588279724
13,0.9666454792022705,0.9968887567520142,0.0002500000118743628,0.06778339296579361,0.6998643279075623,0.9813546538352966,0.9657502770423889,0.998115062713623,0.06950639188289642,0.6912466883659363,0.9916285872459412
14,0.9633966684341431,0.9965782761573792,0.0002500000118743628,0.07021182030439377,0.6797938346862793,0.978691041469574,0.9609564542770386,0.997988224029541,0.07664014399051666,0.6619289517402649,0.9923896789550781
15,0.9661545753479004,0.9967874884605408,0.0002500000118743628,0.06583262979984283,0.6959095597267151,0.9840182662010193,0.9642485976219177,0.9981313347816467,0.07254762947559357,0.6818419694900513,0.9916285872459412
16,0.9674252271652222,0.9967750310897827,0.0001250000059371814,0.06678222119808197,0.7045826315879822,0.982876718044281,0.9656347632408142,0.9981613159179688,0.07054805755615234,0.6903123259544373,0.9923896789550781
17,0.9675407409667969,0.9971182346343994,0.0001250000059371814,0.06462248414754868,0.7056330442428589,0.9819254279136658,0.9652304649353027,0.9982193112373352,0.06798423826694489,0.6877636909484863,0.9923896789550781
